,Media Source,Tweets Ago,Date,Positive,Negative,Neutral,Compound,Text
0,@BBC,1,Tue Apr 10 18:42:00 +0000 2018,0.0,0.842,0.158,-0.4927,"It wasn't until Henry VIII's reign that the #TowerOfLondon became really notorious as a place of imprisonment, tort… https://t.co/Lkoj4s5XH1"
1,@BBC,2,Tue Apr 10 18:00:27 +0000 2018,0.0,0.784,0.216,-0.5106,Meet Rebekah - a former professional footballer who changed career and became a prison officer. https://t.co/D5H4aLBVln
2,@BBC,3,Tue Apr 10 16:58:05 +0000 2018,0.0,1.0,0.0,0.0,🌶🤯 A man who ate the world's hottest chilli pepper in a chilli-eating contest ended up in hospital after experienci… https://t.co/aiRSOhb4eI
3,@BBC,4,Tue Apr 10 16:34:54 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbccomedy: Henry of Eight, the Tudor Kim Kardashian. #CunkOnBritain @MissDianeMorgan https://t.co/VuQyfSFyRM"
4,@BBC,5,Tue Apr 10 16:32:08 +0000 2018,0.0,1.0,0.0,0.0,"👭 Ten celebrity pairs who look so freakily alike they could be twins. #NationalSiblingsDay
👉 https://t.co/WAUVA2c8e4 https://t.co/wTkpghO1uv"
5,@BBC,6,Tue Apr 10 16:02:03 +0000 2018,0.336,0.514,0.15,0.4227,"😱 That's quite the party trick! 
#Doodlebugs https://t.co/IUz7r0qJcf"
6,@BBC,7,Tue Apr 10 15:47:43 +0000 2018,0.208,0.726,0.066,0.6705,"RT @TWBBC: ""Our liberty is at risk when we hand over our data"" @thermoflynamics and @FinalBullet ask if we need to take control of our data…"
7,@BBC,8,Tue Apr 10 15:28:35 +0000 2018,0.237,0.763,0.0,0.7351,"RT @BBCNWT: Have you ever spotted a @RealMancsy around Manchester? 🤔

These free prints pop up around the city, thanks to the anonymous art…"
8,@BBC,9,Tue Apr 10 15:25:18 +0000 2018,0.268,0.732,0.0,0.8126,"RT @BBCR1: Do YOU look like this lady with a tablecloth on her head?

We need your help to recreate a painting from the 1800s 🎨👊

Kindly em…"
9,@BBC,10,Tue Apr 10 15:18:36 +0000 2018,0.211,0.789,0.0,0.4939,RT @BBCTwo: Two tiger brothers enjoy their first swimming lesson. 🐯💦 #NationalSiblingsDay https://t.co/qiyB4N5EYr
10,@BBC,11,Tue Apr 10 14:34:14 +0000 2018,0.204,0.796,0.0,0.6249,"RT @AboutTheBBC: Today @englishheritage unveiled a blue plaque to former BBC Director-General Sir Hugh Carleton Greene. A great moderniser,…"
11,@BBC,12,Tue Apr 10 13:00:36 +0000 2018,0.226,0.774,0.0,0.5423,"🖼🎨 From Velázquez to van Gogh, explore 5 masterpieces of European painting. 
👉 https://t.co/wRpdRNUuz5 https://t.co/EVrV6Iat8H"
12,@BBC,13,Tue Apr 10 12:00:17 +0000 2018,0.0,0.625,0.375,-0.5574,🎥 The nasty side of social media. https://t.co/rKpSRqqjkd
13,@BBC,14,Tue Apr 10 11:00:18 +0000 2018,0.0,0.775,0.225,-0.6997,🐶💅 The rise of 'extreme dog pampering' puts the welfare of pets in jeopardy and 'sends out an extremely worrying me… https://t.co/WTUIFUxaat
14,@BBC,15,Tue Apr 10 10:16:15 +0000 2018,0.18,0.82,0.0,0.5093,"RT @cbbc: This is cute, you two! 😍

@nikkilillyy &amp; @jemmawilson talk cakes and being a goth 💜 https://t.co/LcF6T8F9d6"
15,@BBC,16,Tue Apr 10 10:12:47 +0000 2018,0.0,1.0,0.0,0.0,"RT @BBCBreakfast: Meet 'The Man Engine'. 
He's a tribute to our mining history. ⛏  #manengine https://t.co/sa6ykd3uUT"
16,@BBC,17,Tue Apr 10 09:44:17 +0000 2018,0.0,0.879,0.121,-0.296,"Iceland is to stop using palm oil in own-brand products by the end of 2018.
👉 https://t.co/jyQura5jVB https://t.co/K6HGJDMxrL"
17,@BBC,18,Tue Apr 10 09:34:46 +0000 2018,0.066,0.837,0.097,-0.1779,"RT @bbcwritersroom: .@BBCR1 have just launched a new #comedy podcast called Kench with Ray Moss - No Stone Unturned by @benpartridge 
We ca…"
18,@BBC,19,Tue Apr 10 09:05:51 +0000 2018,0.292,0.708,0.0,0.6369,"RT @BBC6Music: Listen back to @RobertSmith’s exclusive interview about:
🖤 40 years of @TheCure
👄 Inviting @RollingStones to play @meltdownf…"
19,@BBC,20,Tue Apr 10 09:05:17 +0000 2018,0.204,0.796,0.0,0.7096,RT @BBC6Music: Tonight from 7-9pm BST: Cillian Murphy sits in for @IggyPop. Here he is on how @tomwaits is helping to inspire his new role.…
20,@BBC,21,Tue Apr 10 08:01:08 +0000 2018,0.16,0.651,0.189,-0.128,🎮 This video game has been designed to help people deal with grief. https://t.co/tmRibTCet4
21,@BBC,22,Tue Apr 10 07:27:02 +0000 2018,0.0,1.0,0.0,0.0,"🐸 Nine new species have been found where few scientists have gone before.
👉 https://t.co/EfvR9rqTNt https://t.co/qhInJevOTU"
22,@BBC,23,Tue Apr 10 07:01:02 +0000 2018,0.173,0.827,0.0,0.2716,🏊 Women's only swimming sessions are more important than you think. https://t.co/yPZyqsIktB
23,@BBC,24,Mon Apr 09 19:01:07 +0000 2018,0.0,0.83,0.17,-0.5994,"In this five-part immersive living history series, the training programme of one of World War Two's most covert org… https://t.co/WMq4ME93CR"
24,@BBC,25,Mon Apr 09 18:04:06 +0000 2018,0.0,0.936,0.064,-0.0772,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/bJp258jCaL"
25,@BBC,26,Mon Apr 09 17:02:07 +0000 2018,0.273,0.727,0.0,0.7184,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3"
26,@BBC,27,Mon Apr 09 16:43:45 +0000 2018,0.0,1.0,0.0,0.0,"RT @BBCScotland: The history behind #NationalUnicornDay 🦄

*may not be factually accurate* https://t.co/p44XmIXnoM"
27,@BBC,28,Mon Apr 09 16:34:07 +0000 2018,0.0,1.0,0.0,0.0,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… 🌆🏙🙃 https://t.co/U…
28,@BBC,29,Mon Apr 09 16:26:04 +0000 2018,0.0,1.0,0.0,0.0,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉… https://t.co/guqD0Pf53R"
29,@BBC,30,Mon Apr 09 16:04:04 +0000 2018,0.506,0.494,0.0,0.6239,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU
30,@BBC,31,Mon Apr 09 15:42:30 +0000 2018,0.144,0.856,0.0,0.4003,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…
31,@BBC,32,Mon Apr 09 15:29:26 +0000 2018,0.189,0.811,0.0,0.5411,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn"
32,@BBC,33,Mon Apr 09 15:07:08 +0000 2018,0.207,0.793,0.0,0.5267,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv"
33,@BBC,34,Mon Apr 09 14:02:03 +0000 2018,0.145,0.855,0.0,0.5267,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL"
34,@BBC,35,Mon Apr 09 13:01:05 +0000 2018,0.293,0.707,0.0,0.4404,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p"
35,@BBC,36,Mon Apr 09 12:31:27 +0000 2018,0.0,1.0,0.0,0.0,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe
36,@BBC,37,Mon Apr 09 12:28:16 +0000 2018,0.0,1.0,0.0,0.0,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7"
37,@BBC,38,Mon Apr 09 12:14:30 +0000 2018,0.112,0.888,0.0,0.34,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…"
38,@BBC,39,Mon Apr 09 12:12:54 +0000 2018,0.208,0.792,0.0,0.6705,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…"
39,@BBC,40,Mon Apr 09 12:02:02 +0000 2018,0.0,1.0,0.0,0.0,Flipping the script on dyslexia. https://t.co/rW1FLygX9V
40,@BBC,41,Mon Apr 09 11:50:07 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz"
41,@BBC,42,Mon Apr 09 11:27:01 +0000 2018,0.068,0.833,0.098,-0.2023,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…
42,@BBC,43,Mon Apr 09 11:16:03 +0000 2018,0.268,0.649,0.083,0.6757,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉… https://t.co/eargluPvnC"
43,@BBC,44,Mon Apr 09 10:41:24 +0000 2018,0.0,1.0,0.0,0.0,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ"
44,@BBC,45,Mon Apr 09 08:56:59 +0000 2018,0.0,1.0,0.0,0.0,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2
45,@BBC,46,Mon Apr 09 08:40:53 +0000 2018,0.0,0.891,0.109,-0.3252,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6"
46,@BBC,47,Mon Apr 09 08:01:01 +0000 2018,0.0,1.0,0.0,0.0,"😲🚂 Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH"
47,@BBC,48,Mon Apr 09 07:27:04 +0000 2018,0.0,0.897,0.103,-0.3182,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered.… https://t.co/zEzPchOgPO"
48,@BBC,49,Mon Apr 09 07:00:14 +0000 2018,0.0,1.0,0.0,0.0,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo
49,@BBC,50,Sun Apr 08 19:02:05 +0000 2018,0.0,1.0,0.0,0.0,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3"
50,@BBC,51,Sun Apr 08 18:03:03 +0000 2018,0.314,0.686,0.0,0.4939,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8
51,@BBC,52,Sun Apr 08 17:25:08 +0000 2018,0.147,0.765,0.088,0.25,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH"
52,@BBC,53,Sun Apr 08 17:07:02 +0000 2018,0.0,1.0,0.0,0.0,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a"
53,@BBC,54,Sun Apr 08 16:40:55 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…"
54,@BBC,55,Sun Apr 08 16:07:03 +0000 2018,0.0,0.894,0.106,-0.2263,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0
55,@BBC,56,Sun Apr 08 15:31:00 +0000 2018,0.0,1.0,0.0,0.0,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confi… https://t.co/klUA4GWtb0"
56,@BBC,57,Sun Apr 08 15:11:04 +0000 2018,0.0,1.0,0.0,0.0,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB"
57,@BBC,58,Sun Apr 08 13:54:07 +0000 2018,0.0,0.811,0.189,-0.2023,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01
58,@BBC,59,Sun Apr 08 13:23:39 +0000 2018,0.393,0.607,0.0,0.875,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…"
59,@BBC,60,Sun Apr 08 13:03:04 +0000 2018,0.512,0.488,0.0,0.2732,😂 'Surprise me'. https://t.co/Jo7illTafh
60,@BBC,61,Sun Apr 08 11:00:15 +0000 2018,0.0,0.936,0.064,-0.0772,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/MGM0dpxlFH"
61,@BBC,62,Sun Apr 08 10:15:06 +0000 2018,0.213,0.787,0.0,0.5859,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…"
62,@BBC,63,Sun Apr 08 10:01:07 +0000 2018,0.12,0.88,0.0,0.3818,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch… https://t.co/Q6S34uv5LX"
63,@BBC,64,Sun Apr 08 09:08:02 +0000 2018,0.0,1.0,0.0,0.0,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh"
64,@BBC,65,Sun Apr 08 08:17:18 +0000 2018,0.0,1.0,0.0,0.0,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW
65,@BBC,66,Sun Apr 08 08:08:07 +0000 2018,0.208,0.792,0.0,0.6369,"Football, volleyball AND martial arts? ️⚽️🥋🤔

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI"
66,@BBC,67,Sun Apr 08 07:02:06 +0000 2018,0.217,0.783,0.0,0.3612,🐳 Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU
67,@BBC,68,Sat Apr 07 18:00:22 +0000 2018,0.252,0.748,0.0,0.5719,❤️🎶 @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU
68,@BBC,69,Sat Apr 07 17:19:26 +0000 2018,0.0,1.0,0.0,0.0,"RT @CBeebiesHQ: Goodnight @ChrisEvans,🌙 

Chris reads Goodnight Goodnight Construction site tonight. 🏗️ 

#BedtimeStory is at 6:50pm 😴💤 htt…"
69,@BBC,70,Sat Apr 07 17:04:03 +0000 2018,0.072,0.523,0.405,-0.7269,🦁😢 Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5
70,@BBC,71,Sat Apr 07 16:00:23 +0000 2018,0.419,0.581,0.0,0.6515,"😲 Some VERY impressive maths here. 
#UniversityChallenge https://t.co/crvQQ5V3Vn"
71,@BBC,72,Sat Apr 07 15:01:03 +0000 2018,0.241,0.759,0.0,0.6908,Doctors are finding one way that sugar can benefit your health - it may help heal wounds resistant to antibiotics.… https://t.co/zI9pN0zSVo
72,@BBC,73,Sat Apr 07 14:33:46 +0000 2018,0.0,1.0,0.0,0.0,"RT @BBCRadio2: ""The clunk of putting the cassette in, snapping it shut... oh wait I'm going to rewind to get to the start of the song. It's…"
73,@BBC,74,Sat Apr 07 14:00:31 +0000 2018,0.0,1.0,0.0,0.0,"🌎📸 Our pick of the most striking news photographs taken around the world recently.
👉 https://t.co/zPpuZq9hOC https://t.co/fYUTrG44Ra"
74,@BBC,75,Sat Apr 07 13:00:20 +0000 2018,0.0,0.778,0.222,-0.5719,How did this new mum survive in the chaos that followed Hurricane Maria? https://t.co/Nx7uFz1k56
75,@BBC,76,Sat Apr 07 12:07:08 +0000 2018,0.098,0.748,0.154,-0.296,"For Dr Joel Salinas, music creates colours, numbers have personalities and another person's pain feels almost like… https://t.co/lrGhiKBaGZ"
76,@BBC,77,Sat Apr 07 11:19:19 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbcthree: 94-year-old Judo Jack says: ""Get off your butt and do something."" https://t.co/M9CzCtwSqe"
77,@BBC,78,Sat Apr 07 11:00:57 +0000 2018,0.0,1.0,0.0,0.0,RT @BBCR1: It's been one whole year of Sign Of The Times and we need to know whether @Harry_Styles finally let Chris Martin be head of his…
78,@BBC,79,Sat Apr 07 11:00:18 +0000 2018,0.251,0.749,0.0,0.69,"What an inspiration! 💪 

❤️ Fraser shed the pounds to pursue his wrestling dream, in memory of his mother. https://t.co/LWmuGo6dTN"
79,@BBC,80,Sat Apr 07 10:26:52 +0000 2018,0.0,1.0,0.0,0.0,"RT @BBCSport: It's a historic victory for Uganda! 🙌 

Earlier today they recorded their first ever victory at the Commonwealth games with a…"
80,@BBC,81,Sat Apr 07 10:05:06 +0000 2018,0.0,1.0,0.0,0.0,🍓🍒 Did you know that cherries and strawberries represented the souls of men? Or that a dragonfly could be the devil… https://t.co/s9rFhv5wlu
81,@BBC,82,Sat Apr 07 09:00:12 +0000 2018,0.0,0.637,0.363,-0.8658,"Losing your hair whilst going through cancer treatment can be distressing. 

This shop decided to try and do someth… https://t.co/mcOgFrRtdq"
82,@BBC,83,Sat Apr 07 08:00:16 +0000 2018,0.0,1.0,0.0,0.0,🗑🤖 This trash collecting robot can be controlled by anyone via the internet. https://t.co/N2gbeP2nIo
83,@BBC,84,Sat Apr 07 07:54:05 +0000 2018,0.094,0.906,0.0,0.34,"RT @bbcgetinspired: 'Women don't just stay at home and look after the kids, we don't just do dance or gymnastics, we play tennis, football…"
84,@BBC,85,Sat Apr 07 07:03:06 +0000 2018,0.231,0.769,0.0,0.4588,😍🐿 These baby red squirrels are too cute to handle. https://t.co/d2r7c8EyUh
85,@BBC,86,Fri Apr 06 19:48:37 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbcmusic: Jade, this was INCREDIBLE 😍
#SoundsLikeFridayNight https://t.co/rSGnYVTFYu"
86,@BBC,87,Fri Apr 06 18:07:07 +0000 2018,0.0,1.0,0.0,0.0,🤔 Modern life is a mystery. https://t.co/a4817Iugzz
87,@BBC,88,Fri Apr 06 17:32:05 +0000 2018,0.0,1.0,0.0,0.0,"Tune in to #SLFN tonight for performances from @snowpatrol, @Meghan_Trainor, @yearsandyears and @halsey. 🎶🎤🎉

Sound… https://t.co/EFjiBk5upm"
88,@BBC,89,Fri Apr 06 16:13:08 +0000 2018,0.0,1.0,0.0,0.0,RT @bbcpointswest: 🤩 Prince Harry and Meghan Markle arrive in Bath for the Invictus Games trials 🤩 https://t.co/ywlHvaHt2z
89,@BBC,90,Fri Apr 06 16:08:04 +0000 2018,0.096,0.78,0.124,-0.1531,"😂 If you're going to get dumped on TV, it might as well be via @KylieMinogue. 

#TheGNShow | 10.35pm | @BBCOne https://t.co/CgfsjKjeob"
90,@BBC,91,Fri Apr 06 16:02:36 +0000 2018,0.047,0.621,0.332,-0.7777,"RT @BBCNewsround: Ever wondered why we cry when we chop onions? Now you'll have no excuse to avoid cooking dinner, sorry! 😂https://t.co/SyX…"
91,@BBC,92,Fri Apr 06 15:23:45 +0000 2018,0.36,0.64,0.0,0.6037,"RT @BBCOne: MY OLD FRIEND.

#OrdealByInnocence #Sunshine https://t.co/vQBvcgLrCe"
92,@BBC,93,Fri Apr 06 15:22:01 +0000 2018,0.28,0.72,0.0,0.8126,"🎻 Two years ago @ShekuKM won @BBCYoungMus. 
Now he wants to inspire other young people to pick up an instrument too… https://t.co/fG0F3x2eDN"
93,@BBC,94,Fri Apr 06 15:20:18 +0000 2018,0.0,1.0,0.0,0.0,"RT @bbcgetinspired: She's only 11 years old, but @sport_wales' Anna Hursey is smashing it at #GC2018! 🙌 

➡ https://t.co/9sFYGzsgnQ #GetIns…"
94,@BBC,95,Fri Apr 06 15:02:33 +0000 2018,0.0,1.0,0.0,0.0,RT @bbcmusic: Counting down the seconds TBH 💅@LittleMix https://t.co/6UTrz9gqQr
95,@BBC,96,Fri Apr 06 15:02:05 +0000 2018,0.385,0.332,0.282,0.5499,🍞🍻 Hate food waste but love beer? https://t.co/IL9jmlaMjs
96,@BBC,97,Fri Apr 06 14:30:39 +0000 2018,0.13,0.559,0.31,-0.5849,"RT @BBCRadio3: ""Stop being so selfish – this isn’t about you."" Harsh words - or tough love?
Zeynep, Jess and Sam discuss one teacher’s cont…"
97,@BBC,98,Fri Apr 06 14:07:06 +0000 2018,0.0,1.0,0.0,0.0,"🐘 🦏🦒🔭
Saving animals using space technology. https://t.co/gAwJcD2I2A"
98,@BBC,99,Fri Apr 06 13:02:05 +0000 2018,0.088,0.741,0.171,-0.4215,"🍿🎟 From a near-silent horror film to an Australian Western, here are 8 movies worth watching in April. 
👉… https://t.co/b15kbsQ7MD"
99,@BBC,100,Fri Apr 06 12:18:09 +0000 2018,0.0,1.0,0.0,0.0,RT @BBCOne: For all the drama queens. 👑 https://t.co/RfdMDieaCZ
100,@CBS,1,Wed Apr 11 01:36:16 +0000 2018,0.0,1.0,0.0,0.0,"#ACMawards nominee @littlebigtown soars with their performance of ""Rocket Man."" #EltonSalute https://t.co/IjKKd7k7Gw"
101,@CBS,2,Wed Apr 11 01:35:24 +0000 2018,0.152,0.848,0.0,0.5267,RT @eltonofficial: Did you know @ladygaga’s fabulous outfit tonight is also a homage to this famous photo? Elton xo #EltonSalute #EltonREVA…
102,@CBS,3,Wed Apr 11 01:30:21 +0000 2018,0.291,0.709,0.0,0.5719,Life is wonderful when @ladygaga is on stage. #EltonSalute https://t.co/6TCYwDEOyN
103,@CBS,4,Wed Apr 11 01:28:02 +0000 2018,0.347,0.653,0.0,0.8779,"RT @RecordingAcad: W-O-W GRAMMY winner @AlessiaCara is giving us the ALL the music feels with a beautiful performance of ""I Guess That's Wh…"
104,@CBS,5,Wed Apr 11 01:23:10 +0000 2018,0.0,1.0,0.0,0.0,What an incredible performance from @alessiacara! #EltonSalute https://t.co/PVRl5Wia3c
105,@CBS,6,Wed Apr 11 01:18:48 +0000 2018,0.433,0.567,0.0,0.9042,"RT @eltonofficial: Such kind words from @samsmithworld, thank you. He’s a terrific guy, the nicest you’ll ever meet. Elton xo #EltonSalute…"
106,@CBS,7,Wed Apr 11 01:05:50 +0000 2018,0.0,1.0,0.0,0.0,RT @eltonofficial: Here we go and what a way to start this #EltonSalute! @MileyCyrus gives her all to everything she does and she took the…
